unique_key,created_date,closed_date,agency,complaint_type,descriptor,borough,status,incident_zip,latitude,longitude
32308637,12/31/2015 11:15:27 PM,01/01/2016 05:06:16 AM,NYPD,Illegal Parking,Blocked Sidewalk,QUEENS,Closed,11414,40.66126649025677,-73.85693936667572
32306281,12/31/2015 11:13:47 PM,12/31/2015 11:32:32 PM,NYPD,Blocked Driveway,No Access,BROOKLYN,Closed,11213,40.670842567107634,-73.93555563656233
32307213,12/31/2015 11:12:45 PM,01/01/2016 05:37:20 AM,NYPD,Illegal Parking,Commercial Overnight Parking,QUEENS,Closed,11375,40.73639857849262,-73.84590947131231
32308014,12/31/2015 11:11:33 PM,12/31/2015 11:41:01 PM,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BROOKLYN,Closed,11211,40.714007352909874,-73.94171469793936
32306752,12/31/2015 11:11:24 PM,01/01/2016 01:18:47 AM,NYPD,Posting Advertisement,Vehicle,STATEN ISLAND,Closed,10312,40.549093797686275,-74.17363282481907
32307354,12/31/2015 11:11:18 PM,12/31/2015 11:16:13 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32308746,12/31/2015 11:10:03 PM,12/31/2015 11:14:04 PM,NYPD,Noise - Commercial,Loud Talking,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32307464,12/31/2015 11:09:55 PM,01/01/2016 01:19:53 AM,NYPD,Posting Advertisement,Vehicle,STATEN ISLAND,Closed,10312,40.54919922420646,-74.17470179978285
32308024,12/31/2015 11:09:25 PM,12/31/2015 11:14:04 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32305551,12/31/2015 11:09:16 PM,01/01/2016 05:06:15 AM,NYPD,Blocked Driveway,Partial Access,QUEENS,Closed,11417,40.68217580808632,-73.83605475698144
32308118,12/31/2015 11:08:41 PM,12/31/2015 11:16:14 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32308949,12/31/2015 11:08:26 PM,01/01/2016 01:19:59 AM,NYPD,Posting Advertisement,Vehicle,STATEN ISLAND,Closed,10312,40.549082676972034,-74.17372635207464
32309312,12/31/2015 11:07:32 PM,01/01/2016 06:15:34 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,MANHATTAN,Closed,10002,40.715916973975474,-73.97984954794403
32306616,12/31/2015 11:07:20 PM,12/31/2015 11:36:44 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10002,40.715221270038704,-73.99171408791376
32307323,12/31/2015 11:06:58 PM,01/01/2016 01:21:05 AM,NYPD,Posting Advertisement,Vehicle,STATEN ISLAND,Closed,10312,40.549082676972034,-74.17372635207464
32309430,12/31/2015 11:06:08 PM,12/31/2015 11:16:16 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32306034,12/31/2015 11:05:23 PM,01/01/2016 01:21:07 AM,NYPD,Posting Advertisement,Vehicle,STATEN ISLAND,Closed,10312,40.549093797686275,-74.17363282481907
32310150,12/31/2015 11:03:36 PM,12/31/2015 11:17:19 PM,NYPD,Noise - Commercial,Loud Music/Party,MANHATTAN,Closed,10017,40.752466784765815,-73.97026303855291
32310200,12/31/2015 10:58:24 PM,12/31/2015 11:06:27 PM,NYPD,Illegal Parking,Double Parked Blocking Vehicle,MANHATTAN,Closed,10027,40.81010795620323,-73.94508762577884
32308825,12/31/2015 10:58:16 PM,01/01/2016 12:28:31 AM,NYPD,Noise - Street/Sidewalk,Loud Talking,MANHATTAN,Closed,10026,40.800021785765296,-73.95285785808254
32305109,12/31/2015 10:57:52 PM,01/01/2016 03:10:25 AM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11209,40.63525904890755,-74.03213834327562
32309394,12/31/2015 10:57:51 PM,12/31/2015 11:08:42 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32305072,12/31/2015 10:57:49 PM,01/01/2016 07:41:33 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11372,40.752458038207614,-73.87531696498999
32309464,12/31/2015 10:56:33 PM,12/31/2015 11:19:39 PM,NYPD,Illegal Parking,Blocked Hydrant,BRONX,Closed,10461,40.837624764308586,-73.8323541142029
32309575,12/31/2015 10:56:10 PM,01/01/2016 12:47:47 AM,NYPD,Noise - Commercial,Loud Music/Party,QUEENS,Closed,11375,40.710215234049755,-73.84925598521474
32306549,12/31/2015 10:53:46 PM,12/31/2015 11:19:37 PM,NYPD,Illegal Parking,Blocked Hydrant,BRONX,Closed,10461,40.837624764308586,-73.8323541142029
32306960,12/31/2015 10:52:24 PM,12/31/2015 11:25:08 PM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11373,40.7469140642838,-73.88090323832029
32309521,12/31/2015 10:50:12 PM,01/01/2016 03:44:05 PM,NYPD,Blocked Driveway,No Access,MANHATTAN,Closed,10035,40.79913644925785,-73.93310903315022
32308023,12/31/2015 10:48:41 PM,12/31/2015 11:08:43 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32306587,12/31/2015 10:48:38 PM,12/31/2015 10:55:33 PM,NYPD,Illegal Parking,Posted Parking Sign Violation,BROOKLYN,Closed,11209,40.636137480907635,-74.03177846624384
32307015,12/31/2015 10:48:06 PM,01/01/2016 06:00:04 AM,NYPD,Blocked Driveway,No Access,QUEENS,Closed,11418,40.69956436288357,-73.82695984422045
32307358,12/31/2015 10:48:03 PM,01/01/2016 12:01:58 AM,NYPD,Noise - Commercial,Loud Music/Party,QUEENS,Closed,11105,40.771526986902,-73.90883204389722
32305160,12/31/2015 10:47:46 PM,12/31/2015 11:08:43 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32305872,12/31/2015 10:47:15 PM,12/31/2015 11:08:45 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32306571,12/31/2015 10:46:37 PM,01/01/2016 08:26:29 AM,NYPD,Illegal Parking,Blocked Sidewalk,QUEENS,Closed,11421,40.68881354057162,-73.85081161527783
32309845,12/31/2015 10:46:35 PM,12/31/2015 11:20:42 PM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10467,40.87453595377186,-73.87611497155858
32305303,12/31/2015 10:46:24 PM,12/31/2015 11:08:46 PM,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32309854,12/31/2015 10:46:04 PM,01/01/2016 12:47:46 AM,NYPD,Blocked Driveway,Partial Access,QUEENS,Closed,11375,40.71878219048994,-73.83561478624355
32309537,12/31/2015 10:45:50 PM,12/31/2015 11:08:47 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32308662,12/31/2015 10:45:29 PM,12/31/2015 10:52:18 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11205,40.694712086941884,-73.95490489243231
32309545,12/31/2015 10:45:10 PM,12/31/2015 11:06:26 PM,NYPD,Noise - Commercial,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
32308456,12/31/2015 10:44:50 PM,01/01/2016 03:01:26 AM,NYPD,Blocked Driveway,No Access,BRONX,Closed,10468,40.86920209554957,-73.89452847383609
32306025,12/31/2015 10:44:23 PM,12/31/2015 11:05:23 PM,NYPD,Noise - Street/Sidewalk,Loud Music/Party,BROOKLYN,Closed,11216,40.68186974794423,-73.94937196628798
